id,user_id,car_model_id,Car Name
81,64,40,BYD Dolphin GLX
83,785,13,Vinfast VF8
87,658,43,BYD Seal Advanced
88,793,41,BYD Atto 3 Dynamic
89,795,11,Vinfast VF5
90,796,42,BYD Atto 3 Premium
92,802,42,BYD Atto 3 Premium
93,810,33,Vinfast VF5 Plus
94,819,42,BYD Atto 3 Premium
95,822,41,BYD Atto 3 Dynamic
96,164,40,BYD Dolphin GLX
98,832,40,BYD Dolphin GLX
99,670,42,BYD Atto 3 Premium
101,837,44,BYD Seal Perfomance
102,804,41,BYD Atto 3 Dynamic
103,841,44,BYD Seal Perfomance
104,842,42,BYD Atto 3 Premium
105,847,42,BYD Atto 3 Premium
106,846,13,Vinfast VF8
107,854,42,BYD Atto 3 Premium
108,856,11,Vinfast VF5
109,867,44,BYD Seal Perfomance
110,540,12,Vinfast VF5 Plus
111,876,40,BYD Dolphin GLX
112,880,41,BYD Atto 3 Dynamic
115,884,12,Vinfast VF5 Plus
116,886,40,BYD Dolphin GLX
117,890,44,BYD Seal Perfomance
119,893,12,Vinfast VF5 Plus
120,894,41,BYD Atto 3 Dynamic
124,904,44,BYD Seal Perfomance
125,907,41,BYD Atto 3 Dynamic
127,914,44,BYD Seal Perfomance
128,917,41,BYD Atto 3 Dynamic
129,919,44,BYD Seal Perfomance
130,928,36,Vinfast VFe34
131,937,40,BYD Dolphin GLX
135,946,42,BYD Atto 3 Premium
137,949,42,BYD Atto 3 Premium
139,953,44,BYD Seal Perfomance
140,959,11,Vinfast VF5
141,970,42,BYD Atto 3 Premium
143,611,1,Kia Standard
146,983,42,BYD Atto 3 Premium
147,986,41,BYD Atto 3 Dynamic
148,995,36,Vinfast VFe34
149,873,42,BYD Atto 3 Premium
153,1016,15,Vinfast VFe34
155,1026,42,BYD Atto 3 Premium
156,1028,44,BYD Seal Perfomance
157,1034,12,Vinfast VF5 Plus
158,1035,41,BYD Atto 3 Dynamic
159,974,42,BYD Atto 3 Premium
160,1040,43,BYD Seal Advanced
161,1047,44,BYD Seal Perfomance
164,1068,15,Vinfast VFe34
166,1074,40,BYD Dolphin GLX
167,768,1,Kia Standard
168,1080,40,BYD Dolphin GLX
169,1089,40,BYD Dolphin GLX
170,866,41,BYD Atto 3 Dynamic
171,1099,41,BYD Atto 3 Dynamic
172,1104,42,BYD Atto 3 Premium
175,1120,44,BYD Seal Perfomance
176,697,41,BYD Atto 3 Dynamic
177,1131,34,Vinfast VF8
179,1135,42,BYD Atto 3 Premium
180,1136,42,BYD Atto 3 Premium
181,1103,43,BYD Seal Advanced
182,1141,41,BYD Atto 3 Dynamic
183,1140,40,BYD Dolphin GLX
184,1157,42,BYD Atto 3 Premium
185,1158,41,BYD Atto 3 Dynamic
186,1161,43,BYD Seal Advanced
188,1167,42,BYD Atto 3 Premium
189,1169,42,BYD Atto 3 Premium
190,1174,40,BYD Dolphin GLX
192,1190,12,Vinfast VF5 Plus
193,1192,13,Vinfast VF8
194,1193,42,BYD Atto 3 Premium
195,718,44,BYD Seal Perfomance
196,1070,34,Vinfast VF8
198,1233,42,BYD Atto 3 Premium
199,1230,42,BYD Atto 3 Premium
200,1256,42,BYD Atto 3 Premium
201,1266,42,BYD Atto 3 Premium
202,915,42,BYD Atto 3 Premium
203,1284,42,BYD Atto 3 Premium
204,713,41,BYD Atto 3 Dynamic
205,1292,44,BYD Seal Perfomance
206,1293,41,BYD Atto 3 Dynamic
207,1300,13,Vinfast VF8
208,1314,43,BYD Seal Advanced
209,932,42,BYD Atto 3 Premium
212,1337,40,BYD Dolphin GLX
214,1341,42,BYD Atto 3 Premium
215,1344,42,BYD Atto 3 Premium
216,1346,43,BYD Seal Advanced
217,1350,41,BYD Atto 3 Dynamic
219,1355,41,BYD Atto 3 Dynamic
220,1356,41,BYD Atto 3 Dynamic
221,1358,42,BYD Atto 3 Premium
223,1365,41,BYD Atto 3 Dynamic
224,1367,13,Vinfast VF8
225,1370,41,BYD Atto 3 Dynamic
226,1372,42,BYD Atto 3 Premium
227,1374,40,BYD Dolphin GLX
228,1378,1,Kia Standard
230,1382,42,BYD Atto 3 Premium
232,613,42,BYD Atto 3 Premium
233,638,21,Kia Standard
235,1393,42,BYD Atto 3 Premium
236,1407,44,BYD Seal Perfomance
238,1414,42,BYD Atto 3 Premium
239,1415,12,Vinfast VF5 Plus
240,434,13,Vinfast VF8
241,1420,42,BYD Atto 3 Premium
243,1421,42,BYD Atto 3 Premium
247,1361,44,BYD Seal Perfomance
249,1436,42,BYD Atto 3 Premium
250,1437,42,BYD Atto 3 Premium
251,1435,44,BYD Seal Perfomance
252,1022,34,Vinfast VF8
254,1450,42,BYD Atto 3 Premium
255,1454,42,BYD Atto 3 Premium
256,1459,40,BYD Dolphin GLX
257,1434,44,BYD Seal Perfomance
258,1463,44,BYD Seal Perfomance
259,1457,42,BYD Atto 3 Premium
260,1119,44,BYD Seal Perfomance
263,1490,41,BYD Atto 3 Dynamic
268,1506,42,BYD Atto 3 Premium
269,977,45,BYD M6 Performance
270,1395,45,BYD M6 Performance
271,1508,42,BYD Atto 3 Premium
272,1510,41,BYD Atto 3 Dynamic
273,1514,45,BYD M6 Performance
274,1515,45,BYD M6 Performance
275,1497,46,BYD Han Performance
276,1516,46,BYD Han Performance
277,1445,46,BYD Han Performance
280,95,47,Volvo EC40 Ultra 
281,975,47,Volvo EC40 Ultra 
282,1522,45,BYD M6 Performance
283,1492,45,BYD M6 Performance
284,1526,45,BYD M6 Performance
285,1460,45,BYD M6 Performance
286,1540,45,BYD M6 Performance
288,1544,45,BYD M6 Performance
289,1455,45,BYD M6 Performance
290,1549,45,BYD M6 Performance
291,1550,42,BYD Atto 3 Premium
292,1547,45,BYD M6 Performance
293,1562,42,BYD Atto 3 Premium
294,1564,45,BYD M6 Performance
295,1565,46,BYD Han Performance
296,1566,46,BYD Han Performance
298,1568,45,BYD M6 Performance
299,1559,45,BYD M6 Performance
301,1571,45,BYD M6 Performance
303,1576,45,BYD M6 Performance
304,1580,45,BYD M6 Performance
305,1578,45,BYD M6 Performance
306,1585,34,Vinfast VF8
307,1586,44,BYD Seal Perfomance
308,1587,45,BYD M6 Performance
309,1541,45,BYD M6 Performance
310,1014,34,Vinfast VF8
311,1354,41,BYD Atto 3 Dynamic
312,1318,46,BYD Han Performance
313,1595,45,BYD M6 Performance
314,1596,45,BYD M6 Performance
315,1597,12,Vinfast VF5 Plus
318,1610,43,BYD Seal Advanced
319,1611,45,BYD M6 Performance
320,1612,45,BYD M6 Performance
321,1614,2,Tesla S
322,1621,45,BYD M6 Performance
323,1427,45,BYD M6 Performance
326,1117,42,BYD Atto 3 Premium
327,1380,11,Vinfast VF5
328,1560,45,BYD M6 Performance
329,1636,45,BYD M6 Performance
330,1096,45,BYD M6 Performance
332,1639,41,BYD Atto 3 Dynamic
333,1640,45,BYD M6 Performance
334,1646,45,BYD M6 Performance
335,1648,42,BYD Atto 3 Premium
336,1650,14,Vinfast VF9
337,1651,41,BYD Atto 3 Dynamic
338,1619,45,BYD M6 Performance
339,1439,45,BYD M6 Performance
340,1654,45,BYD M6 Performance
341,1655,45,BYD M6 Performance
342,1658,42,BYD Atto 3 Premium
343,1214,45,BYD M6 Performance
345,1666,41,BYD Atto 3 Dynamic
346,1668,35,Vinfast VF9
347,1669,45,BYD M6 Performance
348,1670,42,BYD Atto 3 Premium
349,1678,42,BYD Atto 3 Premium
350,1679,45,BYD M6 Performance
351,1680,45,BYD M6 Performance
352,1682,43,BYD Seal Advanced
353,1688,45,BYD M6 Performance
354,1692,44,BYD Seal Perfomance
355,1617,41,BYD Atto 3 Dynamic
356,1694,40,BYD Dolphin GLX
357,1697,47,Volvo EC40 Ultra 
358,979,45,BYD M6 Performance
359,1704,45,BYD M6 Performance
360,1707,46,BYD Han Performance
361,1711,45,BYD M6 Performance
362,1713,45,BYD M6 Performance
363,1718,45,BYD M6 Performance
364,1722,45,BYD M6 Performance
365,1723,45,BYD M6 Performance
366,1724,46,BYD Han Performance
367,1712,45,BYD M6 Performance
368,1577,42,BYD Atto 3 Premium
369,1446,41,BYD Atto 3 Dynamic
370,1732,45,BYD M6 Performance
373,1736,1,Kia Standard
374,1618,45,BYD M6 Performance
375,1741,45,BYD M6 Performance
376,1765,45,BYD M6 Performance
377,1766,42,BYD Atto 3 Premium
378,1769,40,BYD Dolphin GLX
379,1729,45,BYD M6 Performance
381,1747,45,BYD M6 Performance
382,1684,41,BYD Atto 3 Dynamic
383,1774,45,BYD M6 Performance
386,1778,45,BYD M6 Performance
387,1777,44,BYD Seal Perfomance
388,1483,45,BYD M6 Performance
